statistic,Mkt-Rf,SMB,HML,SL,SM,SH,BL,BM,BH
percent_mean,0.7126854106109166,-0.7241786853264388,0.1775616534726795,0.34564958767992476,0.5614489061530867,0.5278824063161872,1.1224658811018224,1.1896947056157745,1.2953563694109191
percent_std,7.588913405909688,1.0572301663785229,1.044573030231769,8.724211534410022,8.123847585096124,7.8485608489424905,7.650208394254918,7.300299979132211,6.987073581273579
t_stat,1.9481304213781907,-14.158902878446707,3.521629048402834,0.7767003347381858,1.3705613844154025,1.338129468529027,2.955836010133372,3.2889620037923004,3.7509025499535427
