regression,r2,const_coef,const_tstat,value_spread_coef,value_spread_tstat,x_minus_xbar_coef,x_minus_xbar_tstat,log_industry_btm_coef,log_industry_btm_tstat
HML on value spread,0.003907182002638732,-0.06029699177708416,-0.6558092075985144,0.02398381089771444,0.8355874676013674,,,,
HML on aggregate productivity,2.8069107108397162e-05,0.013868445253272133,0.3735320972229761,,,-0.35244257782063126,-0.07068550990773374,,
HML on value spread and aggregate productivity,0.004235658082825,-0.07395400921393333,-0.6839136097602906,0.026630795019437912,0.8648185616571198,1.2900515119469156,0.2416352126682228,,
Market return on industry B/M,0.07140944060817489,0.9896302893333899,158.92271654116905,,,,,0.1235082076208279,3.6997781619795878
Market return on value spread,0.061404569452844004,0.9680787351709033,79.37886087475283,0.012992271418107873,3.412487967089776,,,,
