portfolio,mean_return_annual_pct,volatility_annual_pct,market_beta,market_beta_tstat,capm_r2,mean_book_to_market
BM1,8.09382599589532,16.394356595297065,0.7744901525289947,27.41110127866021,0.8084720914125261,0.6565270630005746
BM2,6.503555056572585,18.177205177217406,0.8496608509387478,25.952002783286908,0.7909587175515304,0.792069659197877
BM3,6.429195318845071,19.03178279908124,0.8456369372679908,20.699009518181356,0.7064880946993896,0.8962415044230723
BM4,12.608362875493672,21.95918894142221,0.9182720154516879,17.19080529845215,0.6240949135852205,1.0180374043978766
BM5,6.925756046368092,25.14952451837515,1.0182898003076266,15.781486698698572,0.5831921752178969,1.1723464649652748
BM6,15.046891044772304,24.748307915992033,1.0313670777229942,17.090281339143946,0.6213392087173063,1.376828761635187
BM7,9.7793104307625,29.365781167208947,1.0284547805736648,11.702213314574532,0.4348162041340319,1.661931536573281
BM8,14.655380351812507,38.71059724968521,1.4028431126240615,12.5312708354645,0.4687086541146279,2.103341934926937
BM9,2.5013403059664263,58.248829588515676,1.5417889660924264,7.611053227961303,0.24553295503456574,3.0383713087189883
BM10,25.09528681026132,141.6255518712296,2.777933937836681,5.257859420321131,0.13443105431830604,45.7579377510785
HML10,14.792515023830676,139.26992296741795,2.003443785307687,3.7236551788879377,0.0722672919010966,nan
